"idVotacao";"uriVotacao";"data";"descricao";"proposicao_id";"proposicao_uri";"proposicao_titulo";"proposicao_ementa";"proposicao_codTipo";"proposicao_siglaTipo";"proposicao_numero";"proposicao_ano"
"2186526-42";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186526-42";"2019-06-04";"Aprovado o Parecer com Complementação de Voto.";"2186526";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186526";"PL 10980/2018";"Acrescenta os § 3º e 4§ ao art. 3º da Lei nº 8.906, de 04 de julho de 1994, para dispor sobre a natureza singular e notória dos serviços advocatícios.";"139";"PL";"10980";"2018"
"2186526-57";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186526-57";"2019-08-06";"Aprovada a Emenda de Redação. Aprovada a Redação Final.";"2186526";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186526";"PL 10980/2018";"Acrescenta os § 3º e 4§ ao art. 3º da Lei nº 8.906, de 04 de julho de 1994, para dispor sobre a natureza singular e notória dos serviços advocatícios.";"139";"PL";"10980";"2018"
"2186534-22";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186534-22";"2019-11-28";"Aprovado o Parecer.";"2186534";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186534";"PDC 1069/2018";"Aprova o ato que renova a permissão outorgada à Fundação Ulysses Guimarães para executar serviço de radiodifusão sonora em frequência modulada, com fins exclusivamente educativos, no Município de Apodi, Estado do Rio Grande do Norte.";"396";"PDC";"1069";"2018"
"2186535-22";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186535-22";"2019-09-05";"Aprovado o Parecer.";"2186535";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186535";"PDC 1070/2018";"Aprova o ato que outorga permissão à Universidade Regional do Cariri - URCA para executar serviço de radiodifusão sonora em frequência modulada, com fins exclusivamente educativos, no Município Crato, Estado do Ceará.";"396";"PDC";"1070";"2018"
"2186536-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186536-26";"2019-03-20";"Aprovado o Parecer.";"2186536";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186536";"PDC 1071/2018";"Aprova o ato que outorga permissão ao Instituto Federal de Educação, Ciência e Tecnologia - IFAL para executar serviço de radiodifusão sonora em frequência modulada, com fins exclusivamente educativos, no Município de Arapiraca, Estado de Alagoas.";"396";"PDC";"1071";"2018"
"2186536-41";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186536-41";"2019-05-07";"Aprovada a Redação Final.";"2186536";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186536";"PDC 1071/2018";"Aprova o ato que outorga permissão ao Instituto Federal de Educação, Ciência e Tecnologia - IFAL para executar serviço de radiodifusão sonora em frequência modulada, com fins exclusivamente educativos, no Município de Arapiraca, Estado de Alagoas.";"396";"PDC";"1071";"2018"
"2186537-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186537-26";"2019-03-20";"Aprovado o Parecer.";"2186537";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186537";"PDC 1072/2018";"Aprova o ato que renova a autorização outorgada à Associação Comunitária e Cultural dos Comunicadores de Gandu e Região para executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no Município de Gandu, Estado da Bahia.";"396";"PDC";"1072";"2018"
"2186537-41";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186537-41";"2019-05-07";"Aprovada a Redação Final.";"2186537";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186537";"PDC 1072/2018";"Aprova o ato que renova a autorização outorgada à Associação Comunitária e Cultural dos Comunicadores de Gandu e Região para executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no Município de Gandu, Estado da Bahia.";"396";"PDC";"1072";"2018"
"2186538-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186538-26";"2019-03-20";"Aprovado o Parecer.";"2186538";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186538";"PDC 1073/2018";"Aprova o ato que outorga permissão ao Instituto Federal de Educação, Ciência e Tecnologia Goiano para executar serviço de radiodifusão sonora em frequência modulada, com fins exclusivamente educativos, no Município Rio Verde, Estado de Goiás.";"396";"PDC";"1073";"2018"
"2186538-41";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186538-41";"2019-05-07";"Aprovada a Redação Final.";"2186538";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186538";"PDC 1073/2018";"Aprova o ato que outorga permissão ao Instituto Federal de Educação, Ciência e Tecnologia Goiano para executar serviço de radiodifusão sonora em frequência modulada, com fins exclusivamente educativos, no Município Rio Verde, Estado de Goiás.";"396";"PDC";"1073";"2018"
"2186539-22";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186539-22";"2019-07-03";"Aprovado o Parecer.";"2186539";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186539";"PDC 1074/2018";"Aprova o ato que renova a autorização outorgada à Associação Rádio Comunitária Cultura FM de Araci para executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no Município de Araci, Estado da Bahia.";"396";"PDC";"1074";"2018"
"2186539-37";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186539-37";"2019-08-13";"Aprovada a Redação Final.";"2186539";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186539";"PDC 1074/2018";"Aprova o ato que renova a autorização outorgada à Associação Rádio Comunitária Cultura FM de Araci para executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no Município de Araci, Estado da Bahia.";"396";"PDC";"1074";"2018"
"2186540-22";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186540-22";"2019-07-03";"Aprovado o Parecer.";"2186540";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186540";"PDC 1075/2018";"Aprova o ato que autoriza a Associação da Rádio Comunitária Batalha FM a executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no Município de Batalha, Estado de Alagoas.";"396";"PDC";"1075";"2018"
"2186540-37";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186540-37";"2019-08-13";"Aprovada a Redação Final.";"2186540";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186540";"PDC 1075/2018";"Aprova o ato que autoriza a Associação da Rádio Comunitária Batalha FM a executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no Município de Batalha, Estado de Alagoas.";"396";"PDC";"1075";"2018"
"2186541-24";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186541-24";"2019-05-28";"Aprovado o Parecer.";"2186541";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186541";"PDC 1076/2018";"Aprova o ato que autoriza a União dos Moradores e Amigos da Região Sul de Palmas a executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no Município de Palmas, Estado do Tocantins.";"396";"PDC";"1076";"2018"
"2186541-39";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186541-39";"2019-07-03";"Aprovada a Redação Final.";"2186541";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186541";"PDC 1076/2018";"Aprova o ato que autoriza a União dos Moradores e Amigos da Região Sul de Palmas a executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no Município de Palmas, Estado do Tocantins.";"396";"PDC";"1076";"2018"
"2186542-22";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186542-22";"2019-07-03";"Aprovado o Parecer.";"2186542";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186542";"PDC 1077/2018";"Aprova o ato que autoriza a Associação Comunitária, Espontânea, Beneficente dos Moradores do Distrito de Pataíba a executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no Município de Água Fria, Estado da Bahia.";"396";"PDC";"1077";"2018"
"2186542-37";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186542-37";"2019-08-13";"Aprovada a Redação Final.";"2186542";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186542";"PDC 1077/2018";"Aprova o ato que autoriza a Associação Comunitária, Espontânea, Beneficente dos Moradores do Distrito de Pataíba a executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no Município de Água Fria, Estado da Bahia.";"396";"PDC";"1077";"2018"
"2186543-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186543-26";"2019-03-20";"Aprovado o Parecer.";"2186543";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186543";"PDC 1078/2018";"Aprova o ato que autoriza a Associação de Radiodifusão Comunitária e Cultural de Pontal do Araguaia (Rádio Comunitária Vale FM), a executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no Município de Pontal do Araguaia, Estado do Mato Grosso.";"396";"PDC";"1078";"2018"
"2186543-41";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186543-41";"2019-05-07";"Aprovada a Redação Final.";"2186543";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186543";"PDC 1078/2018";"Aprova o ato que autoriza a Associação de Radiodifusão Comunitária e Cultural de Pontal do Araguaia (Rádio Comunitária Vale FM), a executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no Município de Pontal do Araguaia, Estado do Mato Grosso.";"396";"PDC";"1078";"2018"
"2186545-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186545-26";"2019-03-20";"Aprovado o Parecer.";"2186545";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186545";"PDC 1079/2018";"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Rodeiro para executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no município de Rodeiro, Estado de Minas Gerais.";"396";"PDC";"1079";"2018"
"2186545-41";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186545-41";"2019-05-07";"Aprovada a Redação Final.";"2186545";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186545";"PDC 1079/2018";"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Rodeiro para executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no município de Rodeiro, Estado de Minas Gerais.";"396";"PDC";"1079";"2018"
"2186546-22";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186546-22";"2019-07-03";"Aprovado o Parecer.";"2186546";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186546";"PDC 1080/2018";"Aprova o ato que autoriza a Associação de Radiodifusão Comunitária RCA FM, a executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no Município de Aramari, Estado da Bahia.";"396";"PDC";"1080";"2018"
"2186546-37";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186546-37";"2019-08-13";"Aprovada a Redação Final.";"2186546";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186546";"PDC 1080/2018";"Aprova o ato que autoriza a Associação de Radiodifusão Comunitária RCA FM, a executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no Município de Aramari, Estado da Bahia.";"396";"PDC";"1080";"2018"
"2186547-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186547-26";"2019-03-20";"Aprovado o Parecer.";"2186547";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186547";"PDC 1081/2018";"Aprova o ato que autoriza a Associação Cultural e Artística de Jaguarari a executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no Município de Jaguarari, Estado da Bahia.";"396";"PDC";"1081";"2018"
"2186547-41";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186547-41";"2019-05-07";"Aprovada a Redação Final.";"2186547";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186547";"PDC 1081/2018";"Aprova o ato que autoriza a Associação Cultural e Artística de Jaguarari a executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no Município de Jaguarari, Estado da Bahia.";"396";"PDC";"1081";"2018"
"2186548-23";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186548-23";"2019-06-12";"Aprovado o Parecer.";"2186548";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186548";"PDC 1082/2018";"Aprova o ato que autoriza a Associação Cultural e Educativa da Rádio Comunitária Interativa FM, a executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no Município de Campina Grande do Sul, Estado do Paraná.";"396";"PDC";"1082";"2018"
"2186548-37";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186548-37";"2019-08-13";"Aprovada a Redação Final.";"2186548";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186548";"PDC 1082/2018";"Aprova o ato que autoriza a Associação Cultural e Educativa da Rádio Comunitária Interativa FM, a executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no Município de Campina Grande do Sul, Estado do Paraná.";"396";"PDC";"1082";"2018"
"2186549-22";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186549-22";"2019-06-25";"Aprovado o Parecer.";"2186549";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186549";"PDC 1083/2018";"Aprova o ato que autoriza a Associação Comunitária de Comunicação e Cultura Unidos Pela Comunicação (Associação Unidos Pela Comunicação), a executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no Município de Araruama, Estado do Rio de Janeiro.";"396";"PDC";"1083";"2018"
"2186549-37";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186549-37";"2019-08-13";"Aprovada a Redação Final.";"2186549";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186549";"PDC 1083/2018";"Aprova o ato que autoriza a Associação Comunitária de Comunicação e Cultura Unidos Pela Comunicação (Associação Unidos Pela Comunicação), a executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no Município de Araruama, Estado do Rio de Janeiro.";"396";"PDC";"1083";"2018"
"2186550-22";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186550-22";"2019-06-17";"Aprovado o Parecer.";"2186550";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186550";"PDC 1084/2018";"Aprova o ato que autoriza a Associação Rádio Comunitária Regional FM, a executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no Município de Anísio de Abreu, Estado do Piauí.";"396";"PDC";"1084";"2018"
"2186550-36";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2186550-36";"2019-08-13";"Aprovada a Redação Final.";"2186550";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2186550";"PDC 1084/2018";"Aprova o ato que autoriza a Associação Rádio Comunitária Regional FM, a executar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão comunitária no Município de Anísio de Abreu, Estado do Piauí.";"396";"PDC";"1084";"2018"
